Title,Price,Rating,Total Purchases
Never Lie: An addictive psychological thriller,$3.99,4.4,58889
What Never Happened: A Thriller,$4.99,4.1,19
Maybe Someday,$9.49,4.5,37216
The Housemaid: An absolutely addictive psychological thriller with a jaw-dropping twist,$3.99,4.5,154674
In the Likely Event,$4.99,4.6,92
Haunting Adeline (Cat and Mouse Duet Book 1),$4.99,4.4,44567
To Die For,$5.99,4.5,31
"Sing, Wild Bird, Sing: A Novel",$4.99,4.3,41
There&#39;s No Coming Back from This: A Novel,$4.99,4.1,51
The Perfect Marriage: A Completely Gripping Psychological Suspense,$1.99,4.3,99543
The Unwanted Marriage: Dion and Faye&#39;s Story (The Windsors),$5.99,4.4,8934
Call the Canaries Home: A Novel,$3.99,4.3,5707
A Flicker in the Dark: A Novel,$12.59,4.3,27156
The Last Flight: A Novel,$9.00,4.4,37979
The Ritual: A Dark College Romance,$4.99,4.5,26741
The Housemaid&#39;s Secret: A totally gripping psychological thriller with a shocking twist,$4.99,4.5,65310
"Joey: A brother&#39;s best friend, standalone dark mafia romance (Chicago Ruthless Book 2)",$4.99,4.6,420
Pucking Around: A Why Choose Hockey Romance (Jacksonville Rays Book 1),$5.99,4.4,21049
Behind the Net: a grumpy sunshine hockey romance,$4.99,4.5,876
Broadway Butterfly: A Thriller,$4.99,3.5,11
Things We Never Got Over (Knockemout Book 1),,4.5,137903
Reckless,,4.6,12602
Maybe Not: A Novella (Maybe Someday Book 2),$7.99,4.3,15038
The Summer I Turned Pretty,$8.77,4.5,28814
Royally Not Ready: A Royal Romance Duet (Not Really Royal Book 1),$4.99,4.2,13072
Heartless: A Small Town Single Dad Romance,,4.6,23088
Don&#39;t Let Her Stay: An unputdownable psychological thriller with a breathtaking twist,$3.99,4.3,10174
Fourth Wing (The Empyrean Book 1),,4.9,30177
My Dark Romeo: An Enemies-to-Lovers Romance,$4.99,4.4,14049
The Summer House,,4.5,27766
Never Lie: An addictive psychological thriller,$3.99,4.4,58889
What Never Happened: A Thriller,$4.99,4.1,19
Maybe Someday,$9.49,4.5,37216
The Housemaid: An absolutely addictive psychological thriller with a jaw-dropping twist,$3.99,4.5,154674
In the Likely Event,$4.99,4.6,92
Haunting Adeline (Cat and Mouse Duet Book 1),$4.99,4.4,44567
To Die For,$5.99,4.5,31
"Sing, Wild Bird, Sing: A Novel",$4.99,4.3,41
There&#39;s No Coming Back from This: A Novel,$4.99,4.1,51
The Perfect Marriage: A Completely Gripping Psychological Suspense,$1.99,4.3,99543
The Unwanted Marriage: Dion and Faye&#39;s Story (The Windsors),$5.99,4.4,8934
Call the Canaries Home: A Novel,$3.99,4.3,5707
A Flicker in the Dark: A Novel,$12.59,4.3,27156
The Last Flight: A Novel,$9.00,4.4,37979
The Ritual: A Dark College Romance,$4.99,4.5,26741
The Housemaid&#39;s Secret: A totally gripping psychological thriller with a shocking twist,$4.99,4.5,65310
"Joey: A brother&#39;s best friend, standalone dark mafia romance (Chicago Ruthless Book 2)",$4.99,4.6,420
Pucking Around: A Why Choose Hockey Romance (Jacksonville Rays Book 1),$5.99,4.4,21049
Behind the Net: a grumpy sunshine hockey romance,$4.99,4.5,876
Broadway Butterfly: A Thriller,$4.99,3.5,11
Things We Never Got Over (Knockemout Book 1),,4.5,137903
Reckless,,4.6,12602
Maybe Not: A Novella (Maybe Someday Book 2),$7.99,4.3,15038
The Summer I Turned Pretty,$8.77,4.5,28814
Royally Not Ready: A Royal Romance Duet (Not Really Royal Book 1),$4.99,4.2,13072
Heartless: A Small Town Single Dad Romance,,4.6,23088
Don&#39;t Let Her Stay: An unputdownable psychological thriller with a breathtaking twist,$3.99,4.3,10174
Fourth Wing (The Empyrean Book 1),,4.9,30177
My Dark Romeo: An Enemies-to-Lovers Romance,$4.99,4.4,14049
The Summer House,,4.5,27766
